Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (Ost);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;28;Richtung - Ostenhellweg;Erwachsene;17;246;Dortmund
Westenhellweg (Mitte);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Hansastraße;Erwachsene;14;49;Dortmund
Westenhellweg (West);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;34;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;34;Richtung - Ostenhellweg;Erwachsene;21;575;Dortmund
Westenhellweg (Ost);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;28;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;28;Richtung - Ostenhellweg;Kinder;1;246;Dortmund
Westenhellweg (Mitte);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;38;Richtung - Hansastraße;Erwachsene;19;49;Dortmund
Westenhellweg (Mitte);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;38;Richtung - Petrikirche;Erwachsene;18;49;Dortmund
Westenhellweg (Mitte);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;38;Richtung - Petrikirche;Kinder;1;49;Dortmund
Westenhellweg (West);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;66;Richtung - Westentor;Erwachsene;33;575;Dortmund
