location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-03-05 00:00:00 +0100;Wednesday;15466;15;clear-day;;8509;6957;14690;776;8101;6589;408;368;12123;7908;4215;3343;601;2742;measured
Achternstraße, Oldenburg;2025-03-06 00:00:00 +0100;Thursday;15712;17;clear-day;;8625;7087;14880;832;8164;6716;461;371;8745;7038;1707;6967;1587;5380;measured
Achternstraße, Oldenburg;2025-03-07 00:00:00 +0100;Friday;22371;19;clear-day;;12419;9952;21333;1038;11851;9482;568;470;15484;11070;4414;6887;1349;5538;measured
Achternstraße, Oldenburg;2025-03-08 00:00:00 +0100;Saturday;35722;18;partly-cloudy-day;;20696;15026;34404;1318;19948;14456;748;570;25655;19217;6438;10067;1479;8588;measured
Achternstraße, Oldenburg;2025-03-09 00:00:00 +0100;Sunday;6602;17;partly-cloudy-day;;3970;2632;6279;323;3775;2504;195;128;4537;3358;1179;2065;612;1453;measured
Achternstraße, Oldenburg;2025-03-10 00:00:00 +0100;Monday;15481;13;partly-cloudy-day;;8460;7021;14630;851;7995;6635;465;386;11351;7704;3647;4130;756;3374;measured
Achternstraße, Oldenburg;2025-03-11 00:00:00 +0100;Tuesday;13241;6;partly-cloudy-day;;7129;6112;12522;719;6754;5768;375;344;9905;6449;3456;3336;680;2656;measured
Achternstraße, Oldenburg;2025-03-12 00:00:00 +0100;Wednesday;13403;8;rain;;7286;6117;12727;676;6926;5801;360;316;10195;6471;3724;3208;815;2393;measured
Achternstraße, Oldenburg;2025-03-13 00:00:00 +0100;Thursday;13961;7;partly-cloudy-day;;7557;6404;13296;665;7202;6094;355;310;9861;6793;3068;4100;764;3336;measured
Achternstraße, Oldenburg;2025-03-14 00:00:00 +0100;Friday;18106;6;snow;;10006;8100;17295;811;9589;7706;417;394;12559;8923;3636;5547;1083;4464;measured
Achternstraße, Oldenburg;2025-03-15 00:00:00 +0100;Saturday;33541;7;partly-cloudy-day;;19495;14046;32228;1313;18750;13478;745;568;25660;17986;7674;7881;1509;6372;measured
Achternstraße, Oldenburg;2025-03-16 00:00:00 +0100;Sunday;4667;8;rain;;2732;1935;4446;221;2598;1848;134;87;3406;2330;1076;1261;402;859;measured
Achternstraße, Oldenburg;2025-03-17 00:00:00 +0100;Monday;14868;8;clear-day;;8136;6732;14131;737;7713;6418;423;314;10229;7295;2934;4639;841;3798;measured
Achternstraße, Oldenburg;2025-03-18 00:00:00 +0100;Tuesday;14878;10;clear-day;;8232;6646;14105;773;7814;6291;418;355;9821;7279;2542;5057;953;4104;measured
Achternstraße, Oldenburg;2025-03-19 00:00:00 +0100;Wednesday;15754;15;clear-day;;8685;7069;14957;797;8244;6713;441;356;10948;7779;3169;4806;906;3900;measured
Achternstraße, Oldenburg;2025-03-20 00:00:00 +0100;Thursday;16080;19;partly-cloudy-day;;9043;7037;15194;886;8548;6646;495;391;10949;8101;2848;5131;942;4189;measured
Achternstraße, Oldenburg;2025-03-21 00:00:00 +0100;Friday;21521;20;clear-day;;12037;9484;20603;918;11527;9076;510;408;14942;10812;4130;6579;1225;5354;measured
Achternstraße, Oldenburg;2025-03-22 00:00:00 +0100;Saturday;32779;18;clear-day;;18941;13838;31476;1303;18179;13297;762;541;24126;17535;6591;8653;1406;7247;measured
Achternstraße, Oldenburg;2025-03-23 00:00:00 +0100;Sunday;5856;16;rain;;3553;2303;5598;258;3399;2199;154;104;4655;3168;1487;1201;385;816;measured
Achternstraße, Oldenburg;2025-03-24 00:00:00 +0100;Monday;14629;16;rain;;8059;6570;13839;790;7629;6210;430;360;10404;7269;3135;4225;790;3435;measured
Achternstraße, Oldenburg;2025-03-25 00:00:00 +0100;Tuesday;14086;12;rain;;7656;6430;13322;764;7243;6079;413;351;9744;6889;2855;4342;767;3575;measured
Achternstraße, Oldenburg;2025-03-26 00:00:00 +0100;Wednesday;13957;10;cloudy;;7550;6407;13245;712;7175;6070;375;337;9439;6670;2769;4518;880;3638;measured
Achternstraße, Oldenburg;2025-03-27 00:00:00 +0100;Thursday;17451;15;clear-day;;9669;7782;16507;944;9161;7346;508;436;13025;8720;4305;4426;949;3477;measured
Achternstraße, Oldenburg;2025-03-28 00:00:00 +0100;Friday;22080;18;clear-day;;12362;9718;21017;1063;11770;9247;592;471;14745;10986;3759;7335;1376;5959;measured
Achternstraße, Oldenburg;2025-03-29 00:00:00 +0100;Saturday;34471;14;partly-cloudy-day;;19907;14564;33015;1456;19090;13925;817;639;24845;18255;6590;9626;1652;7974;measured
Achternstraße, Oldenburg;2025-03-30 00:00:00 +0100;Sunday;3594;10;rain;;2096;1498;3469;125;2021;1448;75;50;2319;1677;642;1275;419;856;measured
Achternstraße, Oldenburg;2025-03-31 00:00:00 +0200;Monday;16480;11;rain;;8967;7513;15668;812;8525;7143;442;370;11077;8023;3054;5403;944;4459;measured
Achternstraße, Oldenburg;2025-04-01 00:00:00 +0200;Tuesday;16334;14;partly-cloudy-day;;8784;7550;15446;888;8318;7128;466;422;11385;7950;3435;4949;834;4115;measured
Achternstraße, Oldenburg;2025-04-02 00:00:00 +0200;Wednesday;17298;17;clear-day;;9384;7914;16430;868;8909;7521;475;393;12035;8416;3619;5263;968;4295;measured
Achternstraße, Oldenburg;2025-04-03 00:00:00 +0200;Thursday;19261;20;clear-day;;10633;8628;18256;1005;10073;8183;560;445;14006;9715;4291;5255;918;4337;measured
Achternstraße, Oldenburg;2025-04-04 00:00:00 +0200;Friday;22105;21;clear-day;;12223;9882;21073;1032;11632;9441;591;441;15746;11155;4591;6359;1068;5291;measured
Achternstraße, Oldenburg;2025-04-05 00:00:00 +0200;Saturday;31401;13;clear-day;;17916;13485;30133;1268;17191;12942;725;543;22699;16569;6130;8702;1347;7355;measured
Achternstraße, Oldenburg;2025-04-06 00:00:00 +0200;Sunday;23405;11;clear-day;;14218;9187;22487;918;13683;8804;535;383;17026;13135;3891;6379;1083;5296;measured
Achternstraße, Oldenburg;2025-04-07 00:00:00 +0200;Monday;18391;13;clear-day;;10026;8365;17408;983;9533;7875;493;490;14062;9240;4822;4329;786;3543;measured
Achternstraße, Oldenburg;2025-04-08 00:00:00 +0200;Tuesday;17830;15;partly-cloudy-day;;9644;8186;16872;958;9141;7731;503;455;13460;8867;4593;4370;777;3593;measured
